zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
uncore,38.042198361,26.936091999999917,0.7080610119187577,0.728592926591561,1572.511085,26.2069419999998,1599.447177
package-0,39.042749027,830.4579989999984,21.270511567161588,21.588146939993752,33902.944687,808.8560129999969,34733.402686
core,39.042825594,652.7438619999994,16.718721336640098,17.027174746654026,26566.32213,635.7057720000012,27219.065992
uncore,39.042873989,27.662509999999884,0.7085195634700867,0.7259526287932316,1572.511085,26.936091999999917,1600.173595
package-0,40.043406229,850.4872069999983,21.239167268588975,20.016196511490026,33902.944687,830.4579989999984,34753.431894
core,40.043515604,668.2281079999993,16.68762145105935,15.474187035665825,26566.32213,652.7438619999994,27234.550238
uncore,40.043577179,28.391339000000016,0.7090152480097389,0.7283555339420046,1572.511085,27.662509999999884,1600.902424
package-0,41.044234624,871.1229339999991,21.224027443827342,20.618290544671243,33902.944687,850.4872069999983,34774.067621
core,41.044296987,684.3557069999988,16.673633237978617,16.113971752481795,26566.32213,668.2281079999993,27250.677837
uncore,41.044335606,29.100255999999945,0.7089982456671273,0.7083179903501672,1572.511085,28.391339000000016,1601.611341
package-0,42.044853556,891.9763479999965,21.214902914963492,20.84062375490844,33902.944687,871.1229339999991,34794.921035
core,42.044923911,700.967991999998,16.671930741348447,16.602096011441393,26566.32213,684.3557069999988,27267.290122
uncore,42.044957084,29.529783999999836,0.7023409332147911,0.42926455304618927,1572.511085,29.100255999999945,1602.040869
package-0,43.045490744,913.7868659999949,21.228425839483165,21.796632520641037,33902.944687,891.9763479999965,34816.731553
core,43.045577409,718.2129339999992,16.684995783663062,17.23396315547487,26566.32213,700.967991999998,27284.535064
uncore,43.045623736,30.264059999999972,0.7030724310188016,0.733808529477858,1572.511085,29.529783999999836,1602.775145
package-0,44.046192819,935.2898429999987,21.23432623124589,21.488135875151393,33902.944687,913.7868659999949,34838.23453
core,44.046265937,735.1579199999978,16.690636834772242,16.933290751808222,26566.32213,718.2129339999992,27301.48005
uncore,44.046302816,30.98814299999981,0.7035384193330705,0.7235832456538941,1572.511085,30.264059999999972,1603.499228
package-0,45.04687575,956.5839080000005,21.235334183005502,21.27970060626102,33902.944687,935.2898429999987,34859.528595
core,45.046966645,751.9023840000009,16.691581641407396,16.733168642640557,26566.32213,735.1579199999978,27318.224514
